DCM_5uM_(slits_5_5)_(PMT_600)_(Em_442)_medium,,ACN_5uM_(slits_5_5)_(PMT_600)_(Em_460)_medium,,EtOH_5uM_(slits_5_5)_(PMT_600)_(Em_485)_medium,,DMF_5uM_(slits_5_5)_(PMT_600)_(Em_456)_medium,,DMSO_5uM_(slits_5_5)_(PMT_600)_(Em_463)_medium,
W1,I1,W2,I2,W3,I3,W4,I4,W5,I5
421.9599915,1.996410131,397.0700073,11.45526409,397.0700073,45.49254608,,,,
423.0299988,1.800590992,398,9.227174759,398,39.70494461,,,,
423.9299927,1.615399003,399.0700073,7.973116875,399.0700073,34.75843048,,,,
425,1.514705539,400,7.264513969,400,30.20038986,,,,
426.0599976,1.705084801,401.0700073,6.830766678,401.0700073,25.79417801,,,,
426.9599915,1.686727762,402,5.797836781,402,22.47060776,,,,
,,403.0700073,5.506855488,403.0700073,19.16680527,,,,
,,404,5.046349525,404,16.46969986,,,,
,,405.0700073,4.302463055,405.0700073,14.39356136,,,,
,,406,4.084136963,406,12.89655209,,,,
,,407.0700073,3.369012117,407.0700073,10.64214516,,,,
,,408,3.2881217,408,9.980759621,,,,
,,409.0700073,2.58759737,409.0700073,8.51527977,,,,
,,410,2.16296792,410,7.728109837,,,,
,,411.0599976,1.958661914,411.0599976,6.35932827,,,,
,,411.9599915,1.778568268,411.9599915,6.05761528,,,,
,,413.0299988,1.741217852,413.0299988,5.167396545,,,,
,,413.9299927,1.719690561,413.9299927,4.608067036,,,,
,,415,1.476605058,415,4.01842308,,,,
,,416.0599976,1.503285766,416.0599976,3.430556536,,,,
,,416.9599915,1.404959798,416.9599915,2.960197449,,,,
,,418.0299988,1.120448232,418.0299988,2.588491678,,,,
,,418.9299927,1.111216903,418.9299927,2.373912811,,,,
,,420,0.950524211,420,2.300094843,,,,
,,421.0599976,0.769051909,421.0599976,2.044101954,,,,
,,421.9599915,0.698089302,421.9599915,1.955632091,,,,
,,423.0299988,0.636267245,423.0299988,2.027906656,,,,
,,423.9299927,0.593844116,423.9299927,2.078793049,,,,
,,425,0.69730854,425,2.255237818,,,,
,,426.0599976,0.577341199,426.0599976,1.979782462,,,,
,,426.9599915,0.713558555,426.9599915,1.928253293,,,,
,,428.0299988,0.754023194,428.0299988,1.492583752,,,,
,,428.9299927,0.753982961,428.9299927,1.554524064,,,,
,,430,0.849803031,430,1.413624048,,,,
,,431.0599976,0.819711089,431.0599976,0.910441339,,,,
,,431.9599915,0.70047468,431.9599915,0.856939435,,,,
,,433.0299988,0.723475575,433.0299988,0.808553755,,,,
,,433.9299927,0.948151708,433.9299927,0.746454358,,,,
,,435,0.924532116,435,0.896078765,,,,
,,436.0599976,0.902098537,436.0599976,0.676068366,,,,
,,436.9599915,1.022218585,436.9599915,0.875801861,,,,
,,438.0299988,0.895828009,438.0299988,0.727528751,,,,
,,438.9299927,0.783850372,438.9299927,0.688207984,,,,
,,440,0.80333662,440,0.809079468,,,,
,,441.0599976,0.756529152,441.0599976,0.632382214,,,,
,,441.9599915,1.013051152,441.9599915,0.644883871,,,,
,,443.0299988,0.994928062,443.0299988,0.757100523,,,,
,,443.9299927,0.999176502,443.9299927,0.690891087,,,,
,,445,0.970501065,445,0.68022877,,,,
,,,,446.0599976,0.573394477,,,,
,,,,446.9599915,0.533670247,,,,
,,,,448.0299988,0.828879952,,,,
,,,,448.9299927,0.778065503,,,,
,,,,450,0.811540842,,,,
,,,,451.0599976,0.840346873,,,,
,,,,451.9599915,0.885834694,,,,
,,,,453.0299988,1.005523205,,,,
,,,,453.9299927,1.113471627,,,,
,,,,455,0.894278109,,,,
,,,,456.0599976,1.059273243,,,,
,,,,456.9599915,1.107991219,,,,
,,,,458.0299988,1.042100787,,,,
,,,,458.9299927,1.091981769,,,,
,,,,460,0.916615784,,,,
,,,,461.0599976,1.081050396,,,,
,,,,461.9599915,0.887311459,,,,
,,,,463.0299988,1.131115079,,,,
,,,,463.9299927,1.182112932,,,,
,,,,465,1.295672536,,,,
,,,,466.0599976,1.369185686,,,,
,,,,466.9599915,1.327459097,,,,
,,,,468.0299988,1.469078898,,,,
,,,,468.9299927,1.474986672,,,,
,,,,470,1.712292552,,,,
